id,nit,nombre,actividad,contacto,telefono,direccion,ciudad,pais,id_cliente
54,100000054,Postobon,Venta de bebidas,Carlos,154-254-354,54 Calle Principal,Montería,Colombia,54
55,100000055,Bavaria,Venta de bebidas,Diana,155-255-355,55 Calle Principal,Riohacha,Colombia,55
56,100000056,Almacen La 14,Venta al por menor,Eva,156-256-356,56 Calle Principal,Valledupar,Colombia,56
57,100000057,Supertiendas Cañaveral,Venta al por menor,Francisco,157-257-357,57 Calle Principal,Pasto,Colombia,57
58,100000058,Almacen Éxito,Venta al por menor,Gracia,158-258-358,58 Calle Principal,Quibdó,Colombia,58
59,100000059,Almacen Metro,Venta al por menor,Ana,159-259-359,59 Calle Principal,Leticia,Colombia,59
60,100000060,Almacen Carulla,Venta al por menor,Ian,160-260-360,60 Calle Principal,Florencia,Colombia,60
61,100000061,Almacen Olímpica,Venta al por menor,Jack,161-261-361,61 Calle Principal,San Andrés,Colombia,61
62,100000062,Almacen D1,Venta al por menor,Catalina,162-262-362,62 Calle Principal,Barranquilla,Colombia,62
63,100000063,Almacen Justo&Bueno,Venta al por menor,Liam,163-263-363,63 Calle Principal,Medellín,Colombia,63
64,100000064,Almacen Ara,Venta al por menor,Mía,164-264-364,64 Calle Principal,Bogotá,Colombia,64
65,100000065,Almacen Makro,Venta al por mayor,Juan,165-265-365,65 Calle Principal,Cali,Colombia,65
66,100000066,Supermercado Exito,Venta al por menor,Juana,166-266-366,66 Calle Principal,Cartagena,Colombia,66
67,100000067,Alkosto,Venta al por mayor,Roberto,167-267-367,67 Calle Principal,Bucaramanga,Colombia,67
68,100000068,Tiendas Olímpica,Venta al por menor,Alicia,168-268-368,68 Calle Principal,Pereira,Colombia,68
69,100000069,Postobon,Venta de bebidas,Carlos,169-269-369,69 Calle Principal,Santa Marta,Colombia,69
70,100000070,Bavaria,Venta de bebidas,Diana,170-270-370,70 Calle Principal,Cúcuta,Colombia,70
71,100000071,Almacen La 14,Venta al por menor,Eva,171-271-371,71 Calle Principal,Villavicencio,Colombia,71
72,100000072,Supertiendas Cañaveral,Venta al por menor,Francisco,172-272-372,72 Calle Principal,Popayán,Colombia,72
73,100000073,Almacen Éxito,Venta al por menor,Gracia,173-273-373,73 Calle Principal,Tunja,Colombia,73
74,100000074,Almacen Metro,Venta al por menor,Ana,174-274-374,74 Calle Principal,Sincelejo,Colombia,74
75,100000075,Almacen Carulla,Venta al por menor,Ian,175-275-375,75 Calle Principal,Montería,Colombia,75
76,100000076,Almacen Olímpica,Venta al por menor,Jack,176-276-376,76 Calle Principal,Riohacha,Colombia,76
77,100000077,Almacen D1,Venta al por menor,Catalina,177-277-377,77 Calle Principal,Valledupar,Colombia,77
78,100000078,Almacen Justo&Bueno,Venta al por menor,Liam,178-278-378,78 Calle Principal,Pasto,Colombia,78
79,100000079,Almacen Ara,Venta al por menor,Mía,179-279-379,79 Calle Principal,Quibdó,Colombia,79
80,100000080,Almacen Makro,Venta al por mayor,Juan,180-280-380,80 Calle Principal,Leticia,Colombia,80
81,100000081,Supermercado Exito,Venta al por menor,Juana,181-281-381,81 Calle Principal,Florencia,Colombia,81
82,100000082,Alkosto,Venta al por mayor,Roberto,182-282-382,82 Calle Principal,San Andrés,Colombia,82
83,100000083,Tiendas Olímpica,Venta al por menor,Alicia,183-283-383,83 Calle Principal,Barranquilla,Colombia,83
84,100000084,Postobon,Venta de bebidas,Carlos,184-284-384,84 Calle Principal,Medellin,Colombia,84
85,100000085,Bavaria,Venta de bebidas,Diana,185-285-385,85 Calle Principal,Bogotá,Colombia,85
86,100000086,Almacen La 14,Venta al por menor,Eva,186-286-386,86 Calle Principal,Cali,Colombia,86
87,100000087,Supertiendas Cañaveral,Venta al por menor,Francisco,187-287-387,87 Calle Principal,Cartagena,Colombia,87
88,100000088,Almacen Éxito,Venta al por menor,Gracia,188-288-388,88 Calle Principal,Bucaramanga,Colombia,88
89,100000089,Almacen Metro,Venta al por menor,Ana,189-289-389,89 Calle Principal,Pereira,Colombia,89
90,100000090,Almacen Carulla,Venta al por menor,Ian,190-290-390,90 Calle Principal,Santa Marta,Colombia,90
91,100000091,Almacen Olímpica,Venta al por menor,Jack,191-291-391,91 Calle Principal,Cúcuta,Colombia,91
92,100000092,Almacen D1,Venta al por menor,Catalina,192-292-392,92 Calle Principal,Villavicencio,Colombia,92
93,100000093,Almacen Justo&Bueno,Venta al por menor,Liam,193-293-393,93 Calle Principal,Popayán,Colombia,93
94,100000094,Almacen Ara,Venta al por menor,Mía,194-294-394,94 Calle Principal,Tunja,Colombia,94
95,100000095,Almacen Makro,Venta al por mayor,Laura,195-295-395,95 Calle Principal,Neiva,Colombia,95
96,100000096,Almacen Olímpica,Venta al por menor,Pedro,196-296-396,96 Calle Principal,Medellin,Colombia,96
97,100000097,Almacen D1,Venta al por menor,Sofía,197-297-397,97 Calle Principal,Bogotá,Colombia,97
98,100000098,Almacen Carulla,Venta al por menor,Andrés,198-298-398,98 Calle Principal,Cali,Colombia,98
99,100000099,Almacen Metro,Venta al por menor,Valeria,199-299-399,99 Calle Principal,Cartagena,Colombia,99
100,100000100,Supermercado Exito,Venta al por menor,Mario,200-300-400,100 Calle Principal,Santa Marta,Colombia,100
